year,ACTscore,zscore
2014,20.3,1.035620246458597
2002,17.8,0.23755137722528027
2003,17.8,0.23755137722528027
2004,17.2,0.04601484860928379
2005,16.7,-0.11359892523737959
2006,16.9,-0.049753415698714464
2007,17.6,0.17370586768661517
2008,17.7,0.20562862245594715
2009,18.4,0.42908790584127565
2010,17.5,0.14178311291728204
2011,17.5,0.14178311291728204
2012,18.0,0.3013968867639454
2013,17.9,0.2694741319946123
2014,17.6,0.17370586768661517
2001,24.5,2.3763759467705694
2002,25.1,2.567912475386566
2003,24.5,2.3763759467705694
2004,25.3,2.6317579849252306
2005,25.7,2.759449004002561
2006,25.2,2.5998352301558976
2007,25.4,2.6636807396945628
2008,26.1,2.8871400230798923
2009,25.9,2.823294513541226
2010,26.2,2.9190627778492244
2011,26.6,3.0467537969265557
2012,27.0,3.174444816003886
2013,27.3,3.2702130803118843
2014,26.9,3.142522061234553
2001,15.8,-0.4009037181613732
2002,16.0,-0.3370582086227081
2003,16.5,-0.1774444347760447
2004,16.8,-0.08167617046804646
2005,17.1,0.01409209383995179
2006,17.1,0.01409209383995179
2007,17.8,0.23755137722528027
2008,17.8,0.23755137722528027
2009,17.4,0.10986035814794891
2010,17.3,0.07793760337861691
2011,16.9,-0.049753415698714464
2012,17.3,0.07793760337861691
2013,17.3,0.07793760337861691
2014,17.7,0.20562862245594715
2001,13.1,-1.2628180969333558
2002,13.8,-1.0393588135480267
2003,13.2,-1.2308953421640232
2004,13.6,-1.1032043230866924
2009,14.1,-0.9435905492400289
2010,14.6,-0.7839767753933656
2011,14.9,-0.6882085110853674
2012,14.3,-0.8797450397013633
2013,14.0,-0.9755133040093615
2014,14.8,-0.7201312658546999
2001,13.9,-1.0074360587786941
2002,14.3,-0.8797450397013633
2003,14.3,-0.8797450397013633
2004,14.8,-0.7201312658546999
2005,15.1,-0.6243630015467022
2006,15.2,-0.5924402467773697
2007,15.6,-0.4647492277000389
2008,15.3,-0.5605174920080366
2009,14.6,-0.7839767753933656
2010,15.3,-0.5605174920080366
2011,15.4,-0.528594737238704
2012,15.0,-0.6562857563160348
2013,15.0,-0.6562857563160348
2014,15.0,-0.6562857563160348
2001,13.6,-1.1032043230866924
2002,13.8,-1.0393588135480267
2003,14.3,-0.8797450397013633
2004,14.5,-0.8158995301626982
2005,14.6,-0.7839767753933656
2006,14.4,-0.8478222849320307
2007,14.3,-0.8797450397013633
2008,16.2,-0.27321269908404294
2009,16.6,-0.1455216800067116
2010,16.6,-0.1455216800067116
2011,16.8,-0.08167617046804646
